timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
391,66.9644,355.4709,0.0107,-0.063,11.7234,42.2042,11.7234,-0.0114,1.19628,0.00036,0.41956,346.152,10,0,0,0,1.21554,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
392,67.0579,356.6455,0.0096,-0.056,11.8413,42.6288,11.8413,-0.0103,1.17949,0.00031,0.41361,347.326,10,0,0,0,1.22794,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
393,67.2442,357.832,0.0086,-0.051,11.9576,43.0474,11.9576,-0.0094,1.16271,0.00027,0.40774,348.513,10,0,0,0,1.24027,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
394,67.415,359.0301,0.0076,-0.045,12.0722,43.46,12.0722,-0.0085,1.14612,0.00026,0.40194,349.711,10,0,0,0,1.25241,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
395,67.6012,360.2395,0.0068,-0.041,12.1852,43.8668,12.1852,-0.0076,1.12991,0.00024,0.39622,350.92,11,0,0,0,1.26431,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
396,67.6943,361.4603,0.0061,-0.036,12.2966,44.2677,12.2966,-0.0068,1.1137,0.00021,0.39059,352.141,11,0,0,0,1.27607,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
397,67.8808,362.6921,0.0054,-0.032,12.4064,44.6629,12.4064,-0.0061,1.09787,0.00018,0.38504,353.373,11,0,0,0,1.28767,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
398,67.974,363.9349,0.0048,-0.028,12.5146,45.0526,12.5146,-0.0055,1.08242,0.00016,0.37957,354.616,11,0,0,0,1.29911,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
399,68.1445,365.1885,0.0042,-0.025,12.6213,45.4367,12.6213,-0.0049,1.06697,0.00015,0.37417,355.869,11,0,0,0,1.31043,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
400,68.4701,366.4528,0.0038,-0.022,12.7265,45.8153,12.7265,-0.0044,1.05171,0.00013,0.36884,357.134,11,0,0,0,1.32149,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
401,68.6559,367.7275,0.0033,-0.02,12.8302,46.1886,12.8302,-0.0039,1.03683,0.00012,0.3636,358.408,11,0,0,0,1.33245,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
402,68.7493,369.0125,0.0029,-0.018,12.9324,46.5565,12.9324,-0.0035,1.02196,0.0001,0.35842,359.693,11,0,0,0,1.34326,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
403,68.9356,370.3078,0.0026,-0.015,13.0331,46.9192,13.0331,-0.0031,1.00746,9e-05,0.35332,360.989,11,0,0,0,1.35391,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
404,69.0286,371.613,0.0023,-0.014,13.1324,47.2767,13.1324,-0.0028,0.99316,8e-05,0.34829,362.294,11,0,0,0,1.36433,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
405,69.1995,372.9282,0.002,-0.012,13.2303,47.6292,13.2303,-0.0025,0.97904,7e-05,0.34333,363.609,11,0,0,0,1.37469,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
