timestep,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
355,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
356,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
357,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
358,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
359,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
360,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
361,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
362,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
363,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
364,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
365,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
366,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
367,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
368,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
369,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
370,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
371,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
372,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
373,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
374,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
375,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
376,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
377,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
378,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
379,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
380,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
381,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
382,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
383,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
384,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
385,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
386,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
387,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
388,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
389,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
390,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
391,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
392,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
393,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
394,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
395,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
396,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
397,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
398,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
399,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
400,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
401,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
402,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
403,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
404,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
405,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
406,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
407,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
408,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
409,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
410,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
411,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
412,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
413,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
414,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
415,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
416,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
417,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
418,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
419,KeepLane,ok,0,,heuristic default,1.0,1.0,1.0
420,KeepLane,ok,1,9.82,heuristic default,1.0,1.0,1.0
421,KeepLane,ok,1,8.85,heuristic default,1.0,1.0,1.0
422,KeepLane,ok,1,8.37,heuristic default,1.0,1.0,1.0
423,KeepLane,ok,1,31.46,heuristic default,1.0,1.0,1.0
424,KeepLane,ok,1,30.47,heuristic default,1.0,1.0,1.0
425,KeepLane,ok,1,29.45,heuristic default,1.0,1.0,1.0
426,KeepLane,ok,1,26.27,heuristic default,1.0,1.0,1.0
427,KeepLane,ok,1,25.26,heuristic default,1.0,1.0,1.0
428,KeepLane,ok,1,24.27,heuristic default,1.0,1.0,1.0
429,KeepLane,ok,1,23.3,heuristic default,1.0,1.0,1.0
430,Brake,fallback,1,20.29,heuristic default,1.0,1.0,1.0
431,Brake,fallback,1,21.76,heuristic default,1.0,1.0,1.0
432,Brake,fallback,1,20.84,heuristic default,1.0,1.0,1.0
433,Brake,fallback,1,19.92,heuristic default,1.0,1.0,1.0
434,Brake,fallback,1,19.02,heuristic default,1.0,1.0,1.0
435,Brake,fallback,1,18.15,heuristic default,1.0,1.0,1.0
436,Brake,fallback,1,17.31,heuristic default,1.0,1.0,1.0
437,Brake,fallback,1,16.5,heuristic default,1.0,1.0,1.0
438,Brake,fallback,1,15.72,heuristic default,1.0,1.0,1.0
439,Brake,fallback,1,14.96,heuristic default,1.0,1.0,1.0
440,Brake,fallback,1,14.23,heuristic default,1.0,1.0,1.0
441,Brake,fallback,1,13.52,heuristic default,1.0,1.0,1.0
442,Brake,fallback,1,12.85,heuristic default,1.0,1.0,1.0
443,Brake,fallback,1,12.17,heuristic default,1.0,1.0,1.0
444,Brake,fallback,1,11.46,heuristic default,1.0,1.0,1.0
445,Brake,fallback,1,10.76,heuristic default,1.0,1.0,1.0
446,Brake,fallback,1,10.08,heuristic default,1.0,1.0,1.0
447,Brake,fallback,1,9.43,heuristic default,1.0,1.0,1.0
448,ChangeLaneRight,ok,1,8.81,heuristic default,1.0,1.0,1.0
449,ChangeLaneRight,ok,1,8.22,heuristic default,1.0,1.0,1.0
450,ChangeLaneRight,ok,1,7.74,heuristic default,1.0,1.0,1.0
451,ChangeLaneRight,ok,1,7.36,heuristic default,1.0,1.0,1.0
452,ChangeLaneRight,ok,1,7.09,heuristic default,1.0,1.0,1.0
453,ChangeLaneRight,ok,1,6.92,heuristic default,1.0,1.0,1.0
454,Brake,fallback,1,4.63,heuristic default,1.0,1.0,1.0
455,Brake,fallback,1,4.64,heuristic default,1.0,1.0,1.0
456,Brake,fallback,1,4.67,heuristic default,1.0,1.0,1.0
457,Brake,fallback,1,4.73,heuristic default,1.0,1.0,1.0
458,Brake,fallback,1,4.8,heuristic default,1.0,1.0,1.0
459,Brake,fallback,1,4.88,heuristic default,1.0,1.0,1.0
460,Brake,fallback,1,4.99,heuristic default,1.0,1.0,1.0
461,Brake,fallback,1,5.12,heuristic default,1.0,1.0,1.0
462,Brake,fallback,1,5.26,heuristic default,1.0,1.0,1.0
463,Brake,fallback,1,5.42,heuristic default,1.0,1.0,1.0
464,Brake,fallback,1,5.59,heuristic default,1.0,1.0,1.0
465,Brake,fallback,1,5.77,heuristic default,1.0,1.0,1.0
466,Brake,fallback,1,5.96,heuristic default,1.0,1.0,1.0
467,Brake,fallback,1,6.16,heuristic default,1.0,1.0,1.0
468,Brake,fallback,1,6.37,heuristic default,1.0,1.0,1.0
469,Brake,fallback,1,6.6,heuristic default,1.0,1.0,1.0
470,Brake,fallback,1,6.83,heuristic default,1.0,1.0,1.0
471,Brake,fallback,1,7.07,heuristic default,1.0,1.0,1.0
472,Brake,fallback,1,7.32,heuristic default,1.0,1.0,1.0
473,Brake,fallback,1,7.58,heuristic default,1.0,1.0,1.0
474,Brake,fallback,1,7.85,heuristic default,1.0,1.0,1.0
475,Brake,fallback,1,8.13,heuristic default,1.0,1.0,1.0
476,Brake,fallback,1,8.42,heuristic default,1.0,1.0,1.0
477,Brake,fallback,1,8.72,heuristic default,1.0,1.0,1.0
478,Brake,fallback,1,9.04,heuristic default,1.0,1.0,1.0
479,Brake,fallback,1,9.36,heuristic default,1.0,1.0,1.0
480,Brake,fallback,1,9.69,heuristic default,1.0,1.0,1.0
481,Brake,fallback,1,10.03,heuristic default,1.0,1.0,1.0
482,Brake,fallback,1,10.37,heuristic default,1.0,1.0,1.0
483,Brake,fallback,1,10.71,heuristic default,1.0,1.0,1.0
484,Brake,fallback,1,11.05,heuristic default,1.0,1.0,1.0
485,Brake,fallback,1,11.39,heuristic default,1.0,1.0,1.0
