timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
222,161.2926,217.8012,-0.0797,0.445,11.7755,42.3917,11.7752,0.0858,1.18656,-0.00146,0.41614,207.678,5,0,0,0,1.221,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
223,162.0497,218.981,-0.0712,0.423,11.8923,42.8124,11.8921,0.0797,1.16859,-0.00198,0.40984,208.858,5,0,0,0,1.23337,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
224,163.1912,220.1725,-0.0634,0.389,12.0075,43.227,12.0073,0.0727,1.15166,-0.00211,0.4039,210.049,5,0,0,0,1.24555,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
225,163.8207,221.3755,-0.0563,0.351,12.121,43.6357,12.1209,0.0655,1.1354,-0.00203,0.3982,211.252,5,0,0,0,1.25755,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
226,165.4222,222.5899,-0.0499,0.312,12.233,44.0387,12.2328,0.0583,1.11942,-0.00196,0.39257,212.467,5,0,0,0,1.26936,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
227,166.7486,223.8154,-0.0442,0.275,12.3434,44.4361,12.3432,0.0515,1.10376,-0.00178,0.3871,213.692,5,0,0,0,1.28104,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
228,168.1313,225.0519,-0.0391,0.241,12.4522,44.8279,12.4521,0.0455,1.08851,-0.00157,0.38174,214.929,5,0,0,0,1.29255,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
229,169.7652,226.2992,-0.0347,0.211,12.5596,45.2144,12.5595,0.0403,1.07346,-0.00132,0.37647,216.176,5,0,0,0,1.30388,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
230,171.3874,227.5573,-0.0307,0.185,12.6654,45.5955,12.6654,0.036,1.05861,-0.00109,0.37126,217.434,5,0,0,0,1.31505,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
231,173.2561,228.8259,-0.0272,0.163,12.7698,45.9712,12.7697,0.0319,1.04374,-0.00097,0.36605,218.703,5,0,0,0,1.32608,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
232,174.329,230.1049,-0.0241,0.143,12.8727,46.3417,12.8727,0.0284,1.0292,-0.00084,0.36092,219.982,5,0,0,0,1.33698,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
233,176.2996,231.3942,-0.0213,0.126,12.9742,46.707,12.9741,0.0252,1.01464,-0.00074,0.35585,221.271,5,0,0,0,1.34766,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
234,178.2686,232.6936,-0.0188,0.111,13.0742,47.0671,13.0742,0.0224,1.00035,-0.00065,0.35084,222.571,5,0,0,0,1.35824,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
235,179.7114,234.003,-0.0166,0.098,13.1728,47.4222,13.1728,0.02,0.98625,-0.00054,0.34591,223.88,5,0,0,0,1.36865,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
236,180.8905,235.3222,-0.0147,0.086,13.2701,47.7722,13.2701,0.0177,0.97233,-0.00049,0.34101,225.199,5,0,0,0,1.37893,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
237,181.7772,236.6511,-0.0129,0.076,13.3659,48.1173,13.3659,0.0158,0.95861,-0.00042,0.3362,226.528,5,0,0,0,1.38907,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
238,182.9048,237.9896,-0.0114,0.067,13.4604,48.4576,13.4604,0.014,0.94507,-0.00038,0.33144,227.867,5,0,0,0,1.39906,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,,,,,
239,183.8534,239.3375,-0.01,0.059,13.5536,48.793,13.5536,0.0124,0.93172,-0.00034,0.32674,229.214,6,0,0,0,1.40889,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
240,185.6662,240.6947,-0.0088,0.052,13.6455,49.1237,13.6455,0.0109,0.91857,-0.0003,0.32211,230.572,6,0,0,0,1.4186,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
241,186.8063,242.0611,-0.0077,0.045,13.736,49.4496,13.736,0.0096,0.90541,-0.00027,0.31754,231.938,6,0,0,0,1.42816,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
242,187.6247,243.4364,-0.0068,0.04,13.8253,49.7709,13.8253,0.0085,0.89263,-0.00023,0.31304,233.313,6,0,0,0,1.43758,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
243,188.4371,244.8207,-0.006,0.035,13.9133,50.0878,13.9133,0.0075,0.88004,-0.0002,0.3086,234.698,6,0,0,0,1.44689,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
244,190.6657,246.2138,-0.0052,0.03,14.0,50.4001,14.0,0.0066,0.86746,-0.00017,0.30422,236.091,6,0,0,0,1.45605,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
245,191.9109,247.6155,-0.0046,0.027,14.0855,50.7079,14.0855,0.0058,0.85506,-0.00015,0.2999,237.492,6,0,0,0,1.46509,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
246,192.6755,249.0257,-0.004,0.023,14.1698,51.0114,14.1698,0.0051,0.84305,-0.00013,0.29563,238.903,6,0,0,0,1.47398,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
247,194.3735,250.4443,-0.0035,0.02,14.2529,51.3105,14.2529,0.0045,0.83103,-0.00012,0.29143,240.321,6,0,0,0,1.48278,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
248,195.9749,251.8713,-0.0031,0.018,14.3348,51.6055,14.3348,0.004,0.8192,-0.0001,0.28729,241.748,6,0,0,0,1.49145,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
249,197.2685,253.3063,-0.0027,0.016,14.4156,51.8962,14.4156,0.0035,0.80757,-9e-05,0.2832,243.183,6,0,0,0,1.49994,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
250,198.5654,254.7495,-0.0023,0.014,14.4952,52.1828,14.4952,0.0031,0.79613,-8e-05,0.27917,244.626,6,0,0,0,1.50839,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
