timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
243,37.7635,233.0678,-0.0055,0.032,13.6067,48.984,13.6067,0.0068,0.9243,-0.00018,0.32416,223.161,7,0,0,0,1.4145,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,
244,37.8722,234.4303,-0.0048,0.028,13.6978,49.312,13.6978,0.006,0.91114,-0.00016,0.31955,224.523,7,0,0,0,1.42411,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,
245,38.0432,235.8019,-0.0042,0.025,13.7876,49.6354,13.7876,0.0053,0.89817,-0.00014,0.31501,225.895,7,0,0,0,1.43361,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,
246,38.136,237.1824,-0.0037,0.022,13.8762,49.9542,13.8762,0.0047,0.88558,-0.00012,0.31054,227.275,7,0,0,0,1.44297,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,
247,38.3068,238.5718,-0.0032,0.019,13.9634,50.2684,13.9634,0.0041,0.8728,-0.00011,0.30611,228.665,7,0,0,0,1.45221,0.0,"('2S0_0_', '3r0_0_', 2)",,,,,,,,
248,38.3999,239.9698,-0.0028,0.017,14.0495,50.5781,14.0495,0.0036,0.8604,-0.0001,0.30176,230.063,8,0,0,0,1.46128,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
249,38.5699,241.3765,-0.0025,0.015,14.1343,50.8835,14.1343,0.0032,0.8482,-8e-05,0.29747,231.469,8,0,0,0,1.47024,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
250,38.6786,242.7916,-0.0022,0.013,14.2179,51.1845,14.2179,0.0028,0.83618,-7e-05,0.29324,232.884,8,0,0,0,1.47908,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
251,38.8488,244.215,-0.0019,0.011,14.3003,51.4813,14.3003,0.0024,0.82436,-6e-05,0.28906,234.308,8,0,0,0,1.4878,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
252,38.9419,245.6467,-0.0016,0.01,14.3816,51.7738,14.3816,0.0021,0.81253,-5e-05,0.28494,235.739,8,0,0,0,1.49637,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
253,39.1126,247.0864,-0.0014,0.008,14.4617,52.0621,14.4617,0.0019,0.8009,-5e-05,0.28089,237.179,8,0,0,0,1.50482,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
254,39.2061,248.5341,-0.0012,0.007,14.5406,52.3463,14.5406,0.0017,0.78945,-4e-05,0.27689,238.627,8,0,0,0,1.51317,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
255,39.377,249.9898,-0.0011,0.006,14.6185,52.6265,14.6185,0.0015,0.77839,-4e-05,0.27294,240.083,8,0,0,0,1.52141,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
256,39.4853,251.4532,-0.0009,0.006,14.6952,52.9027,14.6952,0.0013,0.76714,-3e-05,0.26905,241.546,8,0,0,0,1.52951,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
